data_publicada,titulo_publicado,url,nome_arquivo,responsavel,passagem_1,passagem_2,passagem_3,passagem_4,passagem_5,qtde_tokens_pass_1,qtde_tokens_pass_2,qtde_tokens_pass_3,qtde_tokens_pass_4,qtde_tokens_pass_5,qtde_total_tokens
2023-10-19,168-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/22/97/0C/C0/7E74B810DDBC40B8DC0D8AA8/OC 168-2023-PRE Processo Credenciamento Programa de FM para Trade at Settlement de Futuro de DI (PT) .pdf,2023-10-19|168-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-17,056-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/4A/E1/DA/49/D3F3B810EE51F2B8AC094EA8/CE 056-2023-VPC Serviço de RCC_Simplificação no processo de definição de URs.pdf,2023-10-17|056-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-10-17,097-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/A2/B7/9B/12/BFE3B810EE51F2B8AC094EA8/CE 097-2023-VNC Alteração do tamanho mínimo para registro de ofertas diretas_202309_ErrataData_PT.pdf,2023-10-17|097-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-10-17,055-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/7C/76/F6/B3/F2F3B810EE51F2B8AC094EA8/CE 055-2023-VPC Curva Calculada Term SOFR.pdf,2023-10-17|055-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-10-17,167-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/08/21/D5/4C/F0E3B810DDBC40B8DC0D8AA8/OC 167-2023 PRE Tratamento de Posições em virtude de OPA  Cancelamento de Registro da BR PROPERTIES S.A. (PT).pdf,2023-10-17|167-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-10,163-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/1C/C6/4E/49/F4A1B810DDBC40B8DC0D8AA8/OC 163-2023 PRE Atualização do ESG Workspace e Incorporação de Novos Módulos à Plataforma (PT).pdf,2023-10-10|163-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-10,096-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/ED/67/3C/84/B1B1B810E9C1AAA8AC094EA8/CE 096-2023-VNC Alteração do tamanho mínimo para registro de ofertas diretas_PT.pdf,2023-10-10|096-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-10-10,164-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/58/50/FF/7B/25A1B810DDBC40B8DC0D8AA8/OC 164-2023 PRE Tratamento das Carteiras de Índices da B3 em virtude de OPA da BR Properties S.A. (PT).pdf,2023-10-10|164-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-05,015-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/F2/E7/C0/D3/6020B810E9C1AAA8AC094EA8/OC 015-2023-VNC LiNe 5.0 - Afinidade por Núcleo de Negociação - Replanejamento das Ondas de Implementação_TF_Compliance.pdf,2023-10-05|015-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-03,094-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/9D/54/16/1E/A27FA810E9C1AAA8AC094EA8/CE 094-2023-VNC Gateway Binário - Solicitação de Regras de Drop Copy_PT.pdf,2023-10-03|094-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-10-03,092-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/D6/43/3E/99/8C6FA810E9C1AAA8AC094EA8/CE 092-2023-VNC MRP e REG PROC - Vigência e Direito Intertemporal_PT.pdf,2023-10-03|092-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-28,016-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/5C/16/62/79/AECDA810E9C1AAA8AC094EA8/OC 016-2023-VPC_IbovSmartDividendosB3_VF.pdf,2023-09-28|016-2023-VPC-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-28,004-2023-VPE-Ofício Circular,https://www.b3.com.br/data/files/78/A7/43/6F/6CCDA810E9C1AAA8AC094EA8/OC 004-2023-VPE Gestor como Agente de Registro_PT.pdf,2023-09-28|004-2023-VPE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-26,158-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/D7/B0/97/57/0EDCA810E9C1AAA8AC094EA8/OC 158-2023 PRE Atualização dos critérios elegibilidade empréstimo de FIIs (PT).pdf,2023-09-26|158-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-21,013-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/E3/A7/3A/8E/F28BA810E9C1AAA8AC094EA8/OC 013-2023-VNC Diferenciado_PT.pdf,2023-09-21|013-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-21,012-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/73/E6/7D/11/A28BA810E9C1AAA8AC094EA8/OC 012-2023-VNC Alterações no MPO da Câmara B3 - Janela de débito de ativos diluída_PT.pdf,2023-09-21|012-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-21,013-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/87/43/E8/16/5E8BA810E9C1AAA8AC094EA8/OC 013-2023-VPC Alteração Parametros de Call do DAP.pdf,2023-09-21|013-2023-VPC-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-21,014-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/CA/B2/48/00/609BA810E9C1AAA8AC094EA8/OC 014-2023-VPC Execution Report nos Contratos de Rolagens de Commodities.pdf,2023-09-21|014-2023-VPC-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-19,011-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/DF/10/CB/63/7BDAA810E9C1AAA8AC094EA8/OC 011-2023-VNC Novos limites de posição em aberto por mercado_PT.pdf,2023-09-19|011-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-19,010/2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/CC/D6/BE/EE/FADAA810E9C1AAA8AC094EA8/OC 010-2023-VNC Nova versão do Manual de Acesso B3 - Alterações do AFLD0 2023_PT.pdf,2023-09-19|010_2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
