published_date,published_title,url,file_name
2023-10-31,181-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/FE/B0/66/E2/6B78B810E97E07B8DC0D8AA8/OC 181-2023 PRE Lançamento Opções Semanais - Opção de Compra (PT).pdf,2023-10-31|181-2023-PRE-Ofício Circular.pdf
2023-10-26,174-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/11/52/56/89/C4C6B8108BB545B8DC0D8AA8/OC 174-2023 PRE FM Opções de ações - tranche de dezembro23 (PT).pdf,2023-10-26|174-2023-PRE-Ofício Circular.pdf
2023-10-26,173-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/62/E5/E0/98/74C6B8108BB545B8DC0D8AA8/OC 173-2023 PRE EntryPoint - Atualização da regra de preenchimento da TAG InvestorID (PT).pdf,2023-10-26|173-2023-PRE-Ofício Circular.pdf
2023-10-26,172-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/CE/25/DF/45/34C6B8108BB545B8DC0D8AA8/OC 172-2023 PRE SINQIA_Combinação (PT).pdf,2023-10-26|172-2023-PRE-Ofício Circular.pdf
2023-10-26,171-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/2A/03/B6/07/A3C6B8108BB545B8DC0D8AA8/OC 171-2023 PRE Adequações à Res. CVM 178 (PT).pdf,2023-10-26|171-2023-PRE-Ofício Circular.pdf
2023-10-26,103-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/C6/61/1B/D5/4BC6B810EE51F2B8AC094EA8/CE 103-2023-VNC API Market Protection - Disponibilização dos dados de conectividade e início da certificação_PT.pdf,2023-10-26|103-2023-VNC-Comunicado Externo.pdf
2023-10-26,102-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/BC/51/91/2D/2BC6B810EE51F2B8AC094EA8/CE 102-2023-VNC Alocação pelo preço médio - inicio de certificação_PT.pdf,2023-10-26|102-2023-VNC-Comunicado Externo.pdf
2023-10-24,101-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/36/35/70/64/CB26B810EE51F2B8AC094EA8/CE 101-2023-VNC Sessão Negociação Simulada PUMA Trading System_28102023_PT.pdf,2023-10-24|101-2023-VNC-Comunicado Externo.pdf
2023-10-24,099-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/AA/D4/F5/61/4B26B810EE51F2B8AC094EA8/CE 099-2023-VNC Novos grupos de negociação para Estratégias_PT.pdf,2023-10-24|099-2023-VNC-Comunicado Externo.pdf
2023-10-24,100-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/B3/25/76/FE/7B26B810EE51F2B8AC094EA8/CE 100-2023-VNC Market Data B3 - Novo cronograma de implementação da release de manutenção do Market Data Binário_PT.pdf,2023-10-24|100-2023-VNC-Comunicado Externo.pdf
2023-10-24,170-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/D1/B2/00/94/1936B8108BB545B8DC0D8AA8/OC 170-2023 PRE LiNe 5.0 - Afinidade por Núcleo de Negociação - Novo Cronograma (PT).pdf,2023-10-24|170-2023-PRE-Ofício Circular.pdf
2023-10-24,169-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/A5/27/D2/0D/B816B8108BB545B8DC0D8AA8/OC 169-2023 PRE Descontinuação dos Contratos de Ouro Ativo Financeiro na B3 (PT).pdf,2023-10-24|169-2023-PRE-Ofício Circular.pdf
2023-10-19,168-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/22/97/0C/C0/7E74B810DDBC40B8DC0D8AA8/OC 168-2023-PRE Processo Credenciamento Programa de FM para Trade at Settlement de Futuro de DI (PT) .pdf,2023-10-19|168-2023-PRE-Ofício Circular.pdf
2023-10-19,057-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/41/35/C1/31/3794B810EE51F2B8AC094EA8/CE 057-2023-VPC Plataforma NoMe Balcão B3  Implementações previstas versão dezembro de 2023.pdf,2023-10-19|057-2023-VPC-Comunicado Externo.pdf
2023-10-17,098-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/59/60/F1/15/EFE3B810EE51F2B8AC094EA8/CE 098-2023-VNC Atualização de Segurança da API do LiNe_PT.pdf,2023-10-17|098-2023-VNC-Comunicado Externo.pdf
2023-10-17,056-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/4A/E1/DA/49/D3F3B810EE51F2B8AC094EA8/CE 056-2023-VPC Serviço de RCC_Simplificação no processo de definição de URs.pdf,2023-10-17|056-2023-VPC-Comunicado Externo.pdf
2023-10-17,097-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/A2/B7/9B/12/BFE3B810EE51F2B8AC094EA8/CE 097-2023-VNC Alteração do tamanho mínimo para registro de ofertas diretas_202309_ErrataData_PT.pdf,2023-10-17|097-2023-VNC-Comunicado Externo.pdf
2023-10-17,055-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/7C/76/F6/B3/F2F3B810EE51F2B8AC094EA8/CE 055-2023-VPC Curva Calculada Term SOFR.pdf,2023-10-17|055-2023-VPC-Comunicado Externo.pdf
2023-10-17,165-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/6C/A7/14/CF/30E3B810DDBC40B8DC0D8AA8/OC 165-2023 PRE Revogação do Ofício Circular 058-2002-DG sobre Preços e Taxas Referenciais (PT).pdf,2023-10-17|165-2023-PRE-Ofício Circular.pdf
2023-10-17,166-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/92/94/5A/0A/80E3B810DDBC40B8DC0D8AA8/OC 166-2023 PRE Calendário de Feriados 2024 e Funcionamento da B3 em 14.02.2024 (Quarta-Feira de Cinzas) (PT).pdf,2023-10-17|166-2023-PRE-Ofício Circular.pdf
